underlying,trading_date,S_t,K,expiration,dte,r,moneyness,option_price,sigma_bs
SPY,2023-03-09 09:30:00,399.7,387.71,2023-03-11 09:30:00,2,0.050499999999999996,1.0309251760336333,12.151704639573211,0.13215536004539302
SPY,2023-03-09 11:00:00,400.0098,400.01,2023-03-11 11:00:00,2,0.050499999999999996,0.9999995000124997,1.6929311325578453,0.1133851818843655
SPY,2023-03-09 11:00:00,400.0098,388.01,2023-03-11 11:00:00,2,0.050499999999999996,1.0309265225123063,12.15653123920066,0.1133851818843655
SPY,2023-03-09 11:00:00,400.0098,412.01,2023-03-11 11:00:00,2,0.050499999999999996,0.9708740079124293,0.002325676158814516,0.1133851818843655
SPY,2023-03-09 13:00:00,397.88,385.94,2023-03-11 13:00:00,2,0.050499999999999996,1.0309374514173189,12.096010196481075,0.11426980782590065
SPY,2023-03-09 13:00:00,397.88,409.82,2023-03-11 13:00:00,2,0.050499999999999996,0.9708652579181104,0.002509086651312553,0.11426980782590065
SPY,2023-03-10 09:30:00,390.46,390.46,2023-03-12 09:30:00,2,0.0501,1.0,2.2480440043806595,0.15637160145368592
SPY,2023-03-10 09:30:00,390.46,378.75,2023-03-12 09:30:00,2,0.0501,1.0309174917491748,11.885697196672027,0.15637160145368592
SPY,2023-03-10 11:00:00,390.92,402.65,2023-03-12 11:00:00,2,0.0501,0.9708679995032908,0.13968413919584322,0.19702324923750988
SPY,2023-03-10 13:00:00,388.08,388.08,2023-03-12 13:00:00,2,0.0501,1.0,3.0929867740009342,0.21865839236687953
SPY,2023-03-13 11:00:00,387.4,399.02,2023-03-15 11:00:00,2,0.0487,0.9708786526991128,2.882637352430237,0.5162237610907381
SPY,2023-03-13 13:00:00,386.03,374.45,2023-03-15 13:00:00,2,0.0487,1.0309253571905461,13.323322149125318,0.415949490262923
SPY,2023-03-13 15:00:00,388.64,376.98,2023-03-15 15:00:00,2,0.0487,1.0309300228128813,12.917090608369506,0.3614522871545774
SPY,2023-03-13 15:00:00,388.64,388.64,2023-03-15 15:00:00,2,0.0487,1.0,5.066830658624184,0.3614522871545774
SPY,2023-03-14 09:30:00,390.615,390.62,2023-03-16 09:30:00,2,0.048799999999999996,0.9999871998361579,5.266284215859258,0.3741377942666979
SPY,2023-03-14 11:00:00,392.06,392.06,2023-03-16 11:00:00,2,0.048799999999999996,1.0,4.69536013570675,0.33157035604823454
SPY,2023-03-14 11:00:00,392.06,380.3,2023-03-16 11:00:00,2,0.048799999999999996,1.0309229555613988,12.780133226579494,0.33157035604823454
SPY,2023-03-14 13:00:00,391.58,391.58,2023-03-16 13:00:00,2,0.048799999999999996,1.0,4.077956389316398,0.2876030471920703
SPY,2023-03-14 15:00:00,389.0301,389.03,2023-03-16 15:00:00,2,0.048799999999999996,1.000000257049585,3.867161359364985,0.27426892479543014
SPY,2023-03-15 09:30:00,386.17,374.58,2023-03-17 09:30:00,2,0.0475,1.0309413209461264,12.208025086141731,0.27736962304197055
SPY,2023-03-15 09:30:00,386.17,397.76,2023-03-17 09:30:00,2,0.0475,0.9708618262268706,0.5641611433415932,0.27736962304197055
SPY,2023-03-15 11:00:00,385.77,374.2,2023-03-17 11:00:00,2,0.0475,1.0309192944949226,12.289604068204937,0.2930474310139967
SPY,2023-03-15 13:00:00,384.16,395.68,2023-03-17 13:00:00,2,0.0475,0.9708855640921957,0.752367324646201,0.30329691097568046
SPY,2023-03-15 15:00:00,388.87,388.87,2023-03-17 15:00:00,2,0.0475,1.0,4.382698867687651,0.3118493213855051
